gridcode,month,date,mean,stdDev,standard_error,count
0,2021_04,2021-04-01,98.98907443595677,6.955983772696556,0.484646354131445,206
1,2021_04,2021-04-01,98.36231197644433,7.600897820222852,0.18169621062715566,1750
2,2021_04,2021-04-01,94.00929398786538,9.300095339883885,0.36619089639980534,645
3,2021_04,2021-04-01,90.34921668185562,10.656741059107029,0.7792980867588323,187
0,2021_05,2021-05-01,112.16237342334351,7.395108093578693,0.5152415953051421,206
1,2021_05,2021-05-01,110.95178151605765,8.257785758461763,0.19739883576535228,1750
2,2021_05,2021-05-01,102.88000551571973,8.728976821826711,0.3437031267120059,645
3,2021_05,2021-05-01,97.94631775376462,9.09539681619312,0.6651212878175728,187
0,2021_06,2021-06-01,145.40104814354248,9.763679494444736,0.6802677844741738,206
1,2021_06,2021-06-01,144.72588505169932,8.671522240021238,0.207289029355057,1750
2,2021_06,2021-06-01,139.57801985659123,8.719447384699864,0.3433279054915631,645
3,2021_06,2021-06-01,133.69166341188205,10.52995900295194,0.770026864604797,187
0,2021_07,2021-07-01,162.99529223663183,14.586337458602044,1.0162782865006537,206
1,2021_07,2021-07-01,163.27685113327712,12.603190473941504,0.3012738764669116,1750
2,2021_07,2021-07-01,152.5386789851075,12.736275105519928,0.5014903425434236,645
3,2021_07,2021-07-01,147.03714794080625,12.245779135576036,0.8955000593798126,187
0,2021_08,2021-08-01,130.56946171611307,16.196133266124328,1.1284380750375547,206
1,2021_08,2021-08-01,129.3901731300358,14.529397936878295,0.34731904181122103,1750
2,2021_08,2021-08-01,121.20587424158849,12.135652947889024,0.47784086818188537,645
3,2021_08,2021-08-01,115.69318231133097,11.077906352328592,0.8100967432520668,187
0,2021_09,2021-09-01,81.37537750932677,11.67019368650555,0.8131009224566018,206
1,2021_09,2021-09-01,79.537875761795,11.849576670299482,0.2832590608968665,1750
2,2021_09,2021-09-01,80.79968284611135,10.36092213122997,0.4079609105180479,645
3,2021_09,2021-09-01,81.98975827800196,9.310595044022692,0.6808581407908523,187
0,2021_10,2021-10-01,36.61619718309863,4.731568412504671,0.41339905163745577,131
1,2021_10,2021-10-01,36.724827692252035,5.360285400416949,0.1567763893193407,1169
2,2021_10,2021-10-01,35.49650413424122,4.645736024123436,0.19702309329384704,556
3,2021_10,2021-10-01,36.66112971645456,4.4527959186561255,0.3385398047241457,173
0,2021_11,2021-11-01,13.77154023805295,3.6457054017475716,0.25400833137788187,206
1,2021_11,2021-11-01,14.182334345255763,3.24942569494038,0.07767613108998071,1750
2,2021_11,2021-11-01,13.795918367346937,3.2311855506139286,0.127227806809579,645
3,2021_11,2021-11-01,13.884129670615797,3.5952377142185257,0.26290981985898654,187
0,2021_12,2021-12-01,7.677651447859307,2.086164695549991,0.14534998166393,206
1,2021_12,2021-12-01,7.437689735454567,1.790658845799728,0.04280493364115078,1750
2,2021_12,2021-12-01,7.403888582460005,1.7202135528438849,0.06773334249741798,645
3,2021_12,2021-12-01,7.2729245323959555,1.814466162429779,0.13268690690966764,187
0,2022_01,2022-01-01,18.26443418013859,4.521169088984673,0.3150047767490379,206
1,2022_01,2022-01-01,17.841118668827477,4.151830636316111,0.09924773515272071,1750
2,2022_01,2022-01-01,17.000399889685607,4.35245189631833,0.17137762605665302,645
3,2022_01,2022-01-01,17.116868463307725,4.444464779869659,0.3250114533522939,187
0,2022_02,2022-02-01,29.930360632439182,3.3264330659459977,0.23176357368758624,206
1,2022_02,2022-02-01,28.90633916139782,3.329424783315444,0.07958847507291165,1750
2,2022_02,2022-02-01,27.677013237727518,3.4978627141575127,0.1377282098698128,645
3,2022_02,2022-02-01,26.309508310549827,3.6577227380844,0.2674791773463905,187
0,2022_03,2022-03-01,42.05196304849887,4.263498576872829,0.29705202148926285,206
1,2022_03,2022-03-01,42.56223608226247,4.280110469678691,0.1023142096894328,1750
2,2022_03,2022-03-01,41.00096525096522,4.26276694417035,0.16784628451440034,645
3,2022_03,2022-03-01,41.33433146725686,4.302045146092429,0.31459669826873665,187
0,2022_04,2022-04-01,54.694173032510264,6.4845066480105436,0.451796986306242,206
1,2022_04,2022-04-01,54.58995172445278,7.470081036633893,0.17856909138062305,1750
2,2022_04,2022-04-01,52.34240209597349,7.357691653280657,0.2897088259292887,645
3,2022_04,2022-04-01,46.29627218678121,7.247759122418838,0.5300086382940749,187
0,2022_05,2022-05-01,86.80760348196841,9.489168855733746,0.6611417219977513,206
1,2022_05,2022-05-01,86.28850345803565,10.919364278422892,0.2610227316263009,1750
2,2022_05,2022-05-01,88.33527302813012,10.394274840611645,0.4092741721674699,645
3,2022_05,2022-05-01,92.56385887254261,8.356661752612338,0.61109962974433,187
0,2022_06,2022-06-01,108.12595487653232,5.553779944775759,0.3869501841635949,206
1,2022_06,2022-06-01,108.56566273310354,5.477279706167177,0.1309320281227538,1750
2,2022_06,2022-06-01,106.25737727523436,5.7284155144534985,0.22555614061204549,645
3,2022_06,2022-06-01,105.74421733281253,5.725492415917605,0.4186894718309569,187
0,2022_07,2022-07-01,155.50728370936235,9.4500549970696,0.6584165303329866,206
1,2022_07,2022-07-01,155.54079740247883,10.20815078898291,0.24402147742783675,1750
2,2022_07,2022-07-01,150.1160645339216,9.925628861022387,0.39082125474156126,645
3,2022_07,2022-07-01,147.44100160569363,9.911320024819613,0.7247875020849611,187
0,2022_08,2022-08-01,136.80627109610955,13.492265006518602,0.9400506467613018,206
1,2022_08,2022-08-01,135.64002761863455,11.595283714000452,0.27718029656645005,1750
2,2022_08,2022-08-01,131.07499999999993,9.601378273754511,0.37805390033600206,645
3,2022_08,2022-08-01,130.9256173241331,8.450957645208508,0.6179952283407333,187
0,2022_09,2022-09-01,75.25643986498494,8.720696457601694,0.6075997129627061,206
1,2022_09,2022-09-01,74.20976752413777,7.980908341735505,0.19078019957035577,1750
2,2022_09,2022-09-01,71.18115002757858,7.335530096917097,0.28883621549963173,645
3,2022_09,2022-09-01,70.58425552228441,7.825672907351697,0.5722698797385085,187
0,2022_10,2022-10-01,47.88825723929658,7.761927961900874,0.5407991465609588,206
1,2022_10,2022-10-01,47.03220081714638,6.591908459835986,0.1575767516261878,1750
2,2022_10,2022-10-01,44.660948703805815,6.041798202629966,0.23789557190877392,645
3,2022_10,2022-10-01,43.897843162782614,6.151429665869697,0.4498370883608079,187
0,2022_11,2022-11-01,18.428939420856288,3.4425793564026423,0.23985586919245103,206
1,2022_11,2022-11-01,18.334684782360593,3.2053072825409723,0.07662149931601701,1750
2,2022_11,2022-11-01,16.312934362934364,3.189428032548975,0.1255836061414354,645
3,2022_11,2022-11-01,16.254350561992787,3.0752150464876764,0.224881996175727,187
0,2022_12,2022-12-01,8.226594421744542,1.5206886955506593,0.1059514018650199,206
1,2022_12,2022-12-01,8.403979594165854,1.3946824962356554,0.03333928840877526,1750
2,2022_12,2022-12-01,7.94204357418643,1.5927197507895137,0.06271327894393053,645
3,2022_12,2022-12-01,7.725382979646746,1.9978397781972959,0.14609651376199456,187
0,2023_01,2023-01-01,13.178095576478961,1.9311909638811868,0.13455245014376738,206
1,2023_01,2023-01-01,13.139719476843714,2.1254704161187274,0.05080846099277963,1750
2,2023_01,2023-01-01,13.124158852730279,2.3643049940058956,0.09309441822650873,645
3,2023_01,2023-01-01,14.058976695742736,2.79653069816524,0.20450257827932322,187
0,2023_02,2023-02-01,18.656777402735838,3.4874003988769213,0.2429786991951307,206
1,2023_02,2023-02-01,19.157429070324806,3.763478894288519,0.08996435290159616,1750
2,2023_02,2023-02-01,18.437465526751247,4.1122843723956555,0.16192103903714145,645
3,2023_02,2023-02-01,19.32743132404634,4.933774579596875,0.3607933296918622,187
0,2023_03,2023-03-01,31.807348560079472,4.985764303423912,0.3561260216731366,196
1,2023_03,2023-03-01,33.03369387994973,4.7801777858357815,0.11778696994114474,1647
2,2023_03,2023-03-01,32.2695678985156,5.185440501079228,0.21204843104209165,598
3,2023_03,2023-03-01,32.785083311293306,5.507310200598433,0.4340368479478374,161
0,2023_04,2023-04-01,55.331319950257644,6.049315040656893,0.42147575026764966,206
1,2023_04,2023-04-01,53.91215961744769,5.699533987394865,0.1362449216321615,1750
2,2023_04,2023-04-01,50.763334252619934,5.5109944140349505,0.21699519314336133,645
3,2023_04,2023-04-01,47.956168901618675,6.0699168283296725,0.44387627933027035,187
0,2023_05,2023-05-01,126.12106946171619,8.477223814031063,0.5906361700774546,206
1,2023_05,2023-05-01,125.828322225012,10.067097346285708,0.2406496552247006,1750
2,2023_05,2023-05-01,118.6956563706563,10.97220858424922,0.4320302911004379,645
3,2023_05,2023-05-01,118.25612984420428,9.995763923051953,0.7309626515012719,187
0,2023_06,2023-06-01,144.05409486587328,9.431762758977428,0.6571420497145768,206
1,2023_06,2023-06-01,142.99896430120293,8.874516803172794,0.21214152754341853,1750
2,2023_06,2023-06-01,136.92298676227233,8.741219464886505,0.3441851803117301,645
3,2023_06,2023-06-01,134.42121251573138,8.74162929986215,0.6392512448930947,187
0,2023_07,2023-07-01,171.66077456031286,13.8828195911411,0.9672618740602462,206
1,2023_07,2023-07-01,170.580290908676,12.513098769542525,0.2991202728156845,1750
2,2023_07,2023-07-01,160.50540540540536,13.252799330811593,0.5218284640528459,645
3,2023_07,2023-07-01,158.63693963459613,12.749302374238741,0.9323213253139346,187
0,2023_08,2023-08-01,138.4639367560847,11.481410713369792,0.7999477894646208,206
1,2023_08,2023-08-01,132.88770514254415,13.141561190764696,0.3141433981304105,1750
2,2023_08,2023-08-01,123.057997793712,12.866657792894415,0.506624155845307,645
3,2023_08,2023-08-01,118.33094649134223,12.118539078230588,0.8861953448617046,187
0,2023_09,2023-09-01,78.80813643631204,12.358109758483055,0.8610303062974554,206
1,2023_09,2023-09-01,78.1746593321312,10.352823627456655,0.24747981973858538,1750
2,2023_09,2023-09-01,74.49269167126306,8.495623818240416,0.33451486116870677,645
3,2023_09,2023-09-01,72.3013930477802,7.82532209404121,0.572244225728511,187
0,2023_10,2023-10-01,46.288772428495335,3.1770871175575004,0.22135814840829043,206
1,2023_10,2023-10-01,45.96696035242292,3.469639233142731,0.08294024151042476,1750
2,2023_10,2023-10-01,43.6135135135135,4.044859920112288,0.15926620382109513,645
3,2023_10,2023-10-01,43.406500889641094,4.807876234116444,0.35158673086255515,187
0,2023_11,2023-11-01,19.002131817374327,2.94482200202686,0.20517547100244504,206
1,2023_11,2023-11-01,18.942565793978698,2.8780562601753745,0.06879870362871117,1750
2,2023_11,2023-11-01,17.424089906232755,3.3329172265972318,0.1312334876396258,645
3,2023_11,2023-11-01,16.872716226185826,3.4810246583147038,0.254557734033211,187
0,2023_12,2023-12-01,12.54752176230238,2.78875784661931,0.19430196606044728,206
1,2023_12,2023-12-01,12.163506311200386,2.8193190088156714,0.06739461476353552,1750
2,2023_12,2023-12-01,11.137768891340311,3.212575195174794,0.12649502477977018,645
3,2023_12,2023-12-01,10.81139608557913,3.648509128729296,0.26680541150158377,187
0,2024_01,2024-01-01,14.465564738292024,2.526904603830348,0.17648667298347387,205
1,2024_01,2024-01-01,14.057132963988918,2.162960688427536,0.05182323871585534,1742
2,2024_01,2024-01-01,13.38445945945946,2.1035371871670336,0.08282669585929626,645
3,2024_01,2024-01-01,13.315583908345264,2.326504375365796,0.17013084943161216,187
0,2024_02,2024-02-01,21.31844022028781,2.158442619224448,0.1503858232267744,206
1,2024_02,2024-02-01,21.27999246764512,2.166653697501747,0.0517929297154847,1750
2,2024_02,2024-02-01,21.119387755102032,2.486504648349574,0.0979060249174587,645
3,2024_02,2024-02-01,22.501931172156393,2.830852600087349,0.20701244432124663,187
0,2024_03,2024-03-01,47.34633149760174,4.134987815476713,0.28809825247362014,206
1,2024_03,2024-03-01,47.528089406770036,4.415181823052402,0.1055430326065083,1750
2,2024_03,2024-03-01,45.39931053502481,5.402404279288538,0.2127194607632392,645
3,2024_03,2024-03-01,46.923794644794505,6.343580492834683,0.4638885484640796,187
0,2024_04,2024-04-01,72.7327233966957,4.577399635794425,0.31892254458644026,206
1,2024_04,2024-04-01,71.47438714021595,6.150915644463546,0.1470350070373066,1750
2,2024_04,2024-04-01,67.97557915057912,6.522374668157285,0.25681825175974154,645
3,2024_04,2024-04-01,69.45072256216636,5.975217389729731,0.4369511705274246,187
0,2024_05,2024-05-01,115.53783975839413,7.574347928103191,0.5277298263240805,206
1,2024_05,2024-05-01,114.14626178357037,9.154926480160473,0.21884460090881633,1750
2,2024_05,2024-05-01,111.11594043022613,9.186525222210726,0.3617190773834333,645
3,2024_05,2024-05-01,110.41882567374036,7.787844312204906,0.5695035788910768,187
0,2024_06,2024-06-01,139.6887546633507,6.923882231795318,0.48240973379589247,206
1,2024_06,2024-06-01,138.86512805003315,7.070521130809581,0.16901778276893958,1750
2,2024_06,2024-06-01,133.41822945394367,6.978047423498943,0.2747603489797486,645
3,2024_06,2024-06-01,130.4991971531484,7.027775666301954,0.5139218547718291,187
0,2024_07,2024-07-01,167.16947948125804,13.030866001649555,0.9079034548159454,206
1,2024_07,2024-07-01,165.04727979274622,12.395964109502781,0.2963202188792013,1750
2,2024_07,2024-07-01,156.57505515719797,11.450317875953054,0.45085582607697383,645
3,2024_07,2024-07-01,154.74478149546493,10.792283850858105,0.7892099573485091,187
0,2024_08,2024-08-01,129.08855924675797,14.38879825826961,1.0025150782518164,206
1,2024_08,2024-08-01,128.27443735591527,13.431169548053962,0.32106636201309985,1750
2,2024_08,2024-08-01,123.65617760617754,11.813049671423148,0.46513837657581236,645
3,2024_08,2024-08-01,124.61185609512646,9.329986231708727,0.6822761648734393,187
0,2024_09,2024-09-01,77.71291526025942,14.396995194766784,1.0030861858791797,206
1,2024_09,2024-09-01,79.08983189153415,11.977580758079942,0.2863189438534056,1750
2,2024_09,2024-09-01,80.94645615002753,9.291538189674087,0.36585395893933487,645
3,2024_09,2024-09-01,81.98294492904564,8.552890421992975,0.625449291218452,187
0,2024_10,2024-10-01,46.95150115473445,6.015636535694953,0.4191292576397529,206
1,2024_10,2024-10-01,46.67653956768847,5.404408449948768,0.12919007191814624,1750
2,2024_10,2024-10-01,45.41023166023166,5.092475989144977,0.20051604625622765,645
3,2024_10,2024-10-01,46.72047910428328,5.103694680414287,0.37321911809512964,187
0,2024_11,2024-11-01,12.378752886836043,2.3355922258260033,0.162728421165582,206
1,2024_11,2024-11-01,12.261675150076465,2.077760254088373,0.04966796998048645,1750
2,2024_11,2024-11-01,11.63291505791505,2.114812792434935,0.08327067238314928,645
3,2024_11,2024-11-01,12.034761098815256,2.2553408575702427,0.1649268576148353,187
0,2024_12,2024-12-01,13.697992538639198,3.0872717817496715,0.21510041744359018,206
1,2024_12,2024-12-01,13.646358791171162,2.819249516579668,0.06739295358136356,1750
2,2024_12,2024-12-01,13.10253723110865,2.8526061658391555,0.1123212580912417,645
3,2024_12,2024-12-01,13.738575706288232,2.8667989845767368,0.20964110429366267,187
0,2025_01,2025-01-01,20.505329543435806,4.591270758603811,0.31988899150709954,206
1,2025_01,2025-01-01,20.48266131793386,4.361527573627184,0.10426045072800061,1750
2,2025_01,2025-01-01,19.783576944291216,4.764523969982441,0.18760294811214404,645
3,2025_01,2025-01-01,21.725686759536508,5.072039581726683,0.3709042680198029,187
0,2025_02,2025-02-01,17.405933558358505,2.748074502209779,0.19146742314225562,206
1,2025_02,2025-02-01,17.438129122823035,2.794799193253824,0.06680847906243306,1750
2,2025_02,2025-02-01,17.879908990623278,3.185722460368372,0.12543769937931115,645
3,2025_02,2025-02-01,17.863733020874008,3.268337904424301,0.2390045382234945,187
0,2025_03,2025-03-01,36.7845087937467,5.1339949032598335,0.3577023744306026,206
1,2025_03,2025-03-01,36.975873639040444,5.337777539503162,0.1275972885095345,1750
2,2025_03,2025-03-01,38.98194980694979,5.815886810337829,0.22900031952403666,645
3,2025_03,2025-03-01,41.58668576140257,5.01142279515049,0.36647152957356594,187
0,2025_04,2025-04-01,87.00453011192046,6.725985234021304,0.46862159661805747,206
1,2025_04,2025-04-01,85.83368902786975,8.592155207050231,0.20539179438615832,1750
2,2025_04,2025-04-01,83.51271373414227,8.474267422075185,0.3336739538908989,645
3,2025_04,2025-04-01,81.19224927309808,7.786999712524893,0.5694418156455348,187
0,2025_05,2025-05-01,119.59131284419973,10.450130463028444,0.7280950897246466,206
1,2025_05,2025-05-01,118.02171543676255,12.202803679181772,0.29170280142898103,1750
2,2025_05,2025-05-01,113.80226144511849,11.334272858966846,0.4462865579953156,645
3,2025_05,2025-05-01,113.61706375037969,8.968206207645961,0.6558201893537243,187
0,2025_06,2025-06-01,153.46748978504183,8.709111269067229,0.6067925346298306,206
1,2025_06,2025-06-01,151.41209970098828,10.82735486569804,0.25882328597796495,1750
2,2025_06,2025-06-01,146.91485107556537,10.077549671987931,0.3968031308316565,645
3,2025_06,2025-06-01,144.89957904786695,8.738354084633992,0.6390117374351513,187
0,2025_07,2025-07-01,166.65580031977282,12.052787092187478,0.8397574681354882,206
1,2025_07,2025-07-01,165.0091272739723,11.13841290127029,0.2662589952435511,1750
2,2025_07,2025-07-01,160.33592112520668,10.274330522044686,0.4045513692360059,645
3,2025_07,2025-07-01,159.0206570325044,10.332632996543337,0.7555969578998224,187
0,2025_08,2025-08-01,119.2686978148873,16.881688966961395,1.176203004028456,206
1,2025_08,2025-08-01,118.21656661569024,15.442924582910726,0.3691565054657661,1750
2,2025_08,2025-08-01,121.03592112520681,12.421369685114303,0.4890909537237244,645
3,2025_08,2025-08-01,123.5655079633728,9.45040379195777,0.6910819689925186,187
0,2025_09,2025-09-01,70.56093444661579,12.026364704923727,0.8379165331831829,206
1,2025_09,2025-09-01,70.16711556458422,11.572822434568026,0.27664336929085226,1750
2,2025_09,2025-09-01,73.17971594043016,11.36918263567162,0.4476611291107121,645
3,2025_09,2025-09-01,77.57084581000734,9.276646162865067,0.6783755527287982,187
0,2025_10,2025-10-01,42.27402735832302,4.281949654736374,0.29833756899894254,206
1,2025_10,2025-10-01,42.36991851361532,4.8781436750351785,0.11660993761691328,1750
2,2025_10,2025-10-01,43.59375344732486,5.9537257704605935,0.23442772327867414,645
3,2025_10,2025-10-01,45.317146204921215,6.039391411409469,0.4416440397673975,187
0,2025_11,2025-11-01,18.78770651980815,1.4601567336658325,0.10173394023851982,206
1,2025_11,2025-11-01,19.20575312136222,1.628089051367801,0.03891877225477778,1750
2,2025_11,2025-11-01,19.608811362382777,1.975220571052422,0.07777423403382577,645
3,2025_11,2025-11-01,20.481274139651948,1.961101902654651,0.14340997423145949,187
0,2025_12,2025-12-01,14.346331497601717,3.096874326908218,0.21576945846690873,206
1,2025_12,2025-12-01,14.48054141653922,2.5793455268611827,0.0616581513412636,1750
2,2025_12,2025-12-01,14.594773855488137,2.6493243546394187,0.10431704459186299,645
3,2025_12,2025-12-01,15.474981556220973,2.684790234193088,0.19633130628312262,187
